"DistC_10w_B4" "DistC_10w_C1" "DistC_10w_F6" "DistC_12w_A4" "DistC_12w_B1" "DistC_12w_E3" "DistC_14w_A3" "DistC_14w_C3" "DistC_14w_E4" "DistC_6w_A2" "DistC_6w_B2" "DistC_6w_F7" "DistC_6w_G3" "DistC_6w_G4" "DistC_6w_G5" "DistC_8w_B3" "DistC_8w_C2" "DistC_8w_D4"
"1810058I24Rik" 19.21383 29.31609 27.20766 31.95673 23.01177 30.02953 39.41479 25.18173 28.96155 47.20471 42.56499 42.4709 48.36805 48.67342 50.45152 38.64211 44.34372 27.74724
"1810062G17Rik" 1.53492 1.17405 0.117621 2.0373 1.36899 1.12964 0.873879 2.71483 3.20666 1.13339 1.02941 1.36451 0.917606 1.72912 0.951188 1.09119 1.29254 1.78102
"1810065E05Rik" 15.2292 78.5581 159.326 68.565 220.533 264.67 76.1276 92.8693 65.6644 43.0739 28.9462 39.9665 18.6735 17.176 21.6957 80.2107 79.7583 93.0294
"2010003K11Rik" 75.7498 68.77 86.8163 64.4726 33.9136 26.6284 33.5788 63.4369 62.4564 26.4088 14.9088 25.3996 17.3854 17.511 17.5825 26.425 53.3907 48.4494
"2010010A06Rik" 0.484201 0.6658986 0.274386 2.1343925 5.60447 1.344123 2.666745 0.604342 0 1.945162 0.633614 0.995463 1.254487 1.116916 2.403426 0.479602 2.37571 1.728461
"2010106E10Rik" 12.20846 11.064123 7.29048 5.389998 5.659885 6.18865 4.359147 3.893977 4.08442 3.564263 7.385228 5.340295 5.5339 5.62724 4.98836 2.894013 5.686645 11.598811
"2010300C02Rik" 1.463176 3.01748 7.962425 7.100868 6.896801 7.72813 16.001769 1.279057 1.311499 18.719271 21.6614 23.420023 29.023723 20.68082 23.92333 18.887536 9.083358 11.932291
"2010315B03Rik" 11.1243531 8.258598 6.7963939 10.819854 14.274686 13.385112 8.806163 6.2197161 5.8566436 8.707384 9.501374 9.658907 8.782959 9.324149 8.531975 10.099801 11.656606 10.128344
"2200002D01Rik" 162.1276 186.236 124.6064 279.3306 188.9392 148.5778 131.4041 242.5597 235.3081 152.9541 149.6736 162.7894 174.0578 141.4616 161.5552 114.9984 210.3768 152.2628
"2210016F16Rik" 32.0167 35.5155 45.177 31.344 29.3395 27.7202 29.427 17.9843 25.328 32.0502 28.2595 33.7614 37.0375 29.722 31.4272 32.1675 46.4158 42.4916
"2210016L21Rik" 7.437698 10.838181 12.664578 15.768087 17.784041 15.474429 17.633417 4.948041 8.1998656 17.829535 20.077638 22.3798 22.837221 21.389865 23.31924 17.275032 21.922805 16.426664
"2210407C18Rik" 259.769 744.175722 1177.896278 434.062561 865.17459 420.317844 68.1846 117.518 97.8513 16.3806 45.969 70.7939 12.7345 19.0686 16.596 149.266 422.600894 2353.886769
"2210408I21Rik" 4.550749 2.186249 2.318584 2.234044 3.388305 1.975802 2.120879 2.7768226 5.096002 2.315821 3.124677 2.57902 1.684088 0.99882 1.286993 2.264733 1.885255 1.054123
"2210418O10Rik" 2.778357 1.82573 1.771318 1.8335343 1.84929 1.6200442 0.84802509 1.476358 2.271754 1.424388 1.808025 1.403152 1.24691 1.299073 1.255955 1.243551 1.63031 1.2746943
"2300009A05Rik" 17.614219 21.714116 15.908743 22.91403 19.574274 18.312428 24.218766 16.068341 16.108004 28.368882 20.275466 27.627731 26.603303 24.752769 22.561692 22.94357 23.353433 18.995686
"2310009B15Rik" 16.990894 21.330646 17.132057 29.589746 27.033499 18.753863 14.5909336 27.502153 26.031514 16.941267 11.112779 11.96427 19.94578 17.665565 19.870485 15.899309 20.56646 15.6116081
"2310011J03Rik" 34.475 39.7233 39.5739 47.5123 38.6883 32.6454 28.4969 34.1731 38.4306 28.3957 25.1197 27.0533 35.1957 27.1916 28.3488 29.8226 46.6272 32.1847
"2310022A10Rik" 4.9991183 6.162093264009 9.38724 5.2219513 5.74152511531 5.57343361 8.6449144 1.3898095 2.8471399527 8.9485936 9.2553557 9.160991 8.5509263 8.771825 8.6518662 10.7779159 9.414061 7.7233502
"2310022B05Rik" 8.66891 8.31754 18.2775 10.491 9.22017 12.846 25.7117 3.01952 4.8376 34.1151 33.3482 29.6121 31.4922 34.5359 30.0873 33.2511 18.5886 21.5055
"2310030G06Rik" 14.047275 10.892844 12.700658 15.437818 14.7174 14.7854503006075 15.2818 11.910600306312 14.4160786 14.6968252 14.3119 16.894452 15.314349 12.4724897 13.38282 14.300703 15.276796 15.5158
