"";"logFC.6w";"logFC.8w";"logFC.10w";"logFC.12w";"logFC.14w";"logCPM";"LR";"PValue";"FDR";"logFC.WT";"module"
"Ccl2";0,371224346885762;1,82130952378294;5,35018215168795;3,33168295457641;6,1235951984895;3,57803379023156;264,349683489214;4,57300659944223e-55;1,06485725101298e-52;0;1
"Gm18853";-2,24970382917524;4,8788369686171;8,0675788977995;5,6416522019542;7,38189181777487;2,57087752343568;261,108044752574;2,27058558319234e-54;5,21275281775144e-52;0;1
"Cxcr2";-1,59559217026801;1,49043132861898;6,39250018554845;2,22384448843301;5,87474902078985;2,34476547547032;259,208286864146;5,80690113864553e-54;1,31461789666558e-51;0;1
"Olfr56";-0,726609252990497;4,65617147766774;6,42346267620471;5,24672288227918;5,45778771618145;3,77122800290243;258,7041269354;7,45011264855887e-54;1,66351830371931e-51;0;1
"Gzmb";0,563771819741864;5,72135012273382;6,8366373905123;6,28555373237647;6,97975751104911;3,69184349160614;258,613292932229;7,79220170193729e-54;1,71639037488619e-51;0;1
"Cxcl10";-1,42793450158898;1,74078788409047;4,81968494036131;2,49955564274844;3,24889915429285;5,05266628156909;255,205468327862;4,19841729191898e-53;9,12456024777058e-51;0;1
"Gm12250";-1,43445901404379;3,44534766057554;5,12599395607089;3,37587219327216;3,07205181624024;6,11396330820314;254,965798288072;4,72630774714331e-53;1,01366863524258e-50;0;1
"Sprr2i";0;1,85876029358831;8,89493267434944;4,00871432686557;10,71757084681;0,541255151411517;252,306011170612;1,7591772150643e-52;3,72397254617507e-50;0;1
"Epgn";0,643349023623313;1,81531881245661;7,73827635039391;3,01627503824431;8,6509753814531;1,23264186596986;251,153612311775;3,10878845135055e-52;6,49657073807871e-50;0;1
"Gbp4";0,116313471581882;3,74744602872562;5,90732719616534;3,91627840061388;3,58369974020243;7,47283926228193;250,610950711094;4,06472107828061e-52;8,38670298430051e-50;0;1
"Retnlg";-0,340872123241822;0,520486180790405;2,71067693602064;0,541810114098719;5,43604135358807;3,00141033043073;248,750441713902;1,01910655883209e-51;2,07642961362039e-49;0;2
"Myot";-1,71222542723948;3,07521046380128;8,68884694550627;3,035206091996;8,82116080663663;0,97199064457154;246,134851761239;3,70985596075354e-51;7,46551261238058e-49;0;1
"Slfn4";-1,24324282027665;0,0985723475690829;4,08627808089678;3,08645968151725;3,63539278930312;5,55510272964195;245,799085723649;4,37910787468364e-51;8,70481199479798e-49;0;1
"Igkv4-91";2,99376233481158;4,1026267147337;5,96060848709827;4,64565222937249;7,87863393827925;3,31392779211463;245,195388621546;5,90048693656645e-51;1,15877032609679e-48;0;1
"Wfdc21";2,60396337799744;3,5047056181759;8,75057619673697;4,04764047989002;10,900591656735;0,66656612333364;244,889014236135;6,86449089494754e-51;1,33203811413863e-48;0;1
"Gm43302";-0,372417410606014;3,49182882031573;5,40983447692417;3,46996194291653;3,1562147063498;5,53251611625446;243,060067341812;1,69400793001977e-50;3,24850932462614e-48;0;1
"Gbp6";0,0859302622655425;3,53710886373532;5,57483957451166;3,70842569261519;2,66606507221795;4,63457990996379;242,96405894313;1,77626655167947e-50;3,36664474329947e-48;0;1
"Gm4841";-0,454959512680722;5,0734066714929;6,90404109062736;5,45961379714788;4,49769231775145;3,29120342769878;242,266014078399;2,50742372283519e-50;4,69781686002455e-48;0;1
