"";"logFC.W1";"logFC.W2";"logFC.W3";"logFC.W4";"logFC.W5";"logFC.W6";"logFC.W7";"logCPM";"LR";"PValue";"FDR";"logFC.W0";"module"
"Dlk1";-0,0261798559405427;0,751512757132607;1,00642070681122;3,1292430369286;5,19457081480117;4,93163901124063;5,82402811364808;3,68616883643448;788,96464316919;4,46427785375668e-166;1,23135748099583e-163;0;2
"Cma2";2,04426625086217;6,64164971358759;9,09492303566291;9,53370195304795;8,35897477677192;9,56643136128369;7,6357685745372;4,27152319464042;785,016737891631;3,1739147205373e-165;8,60349779935989e-163;0;1
"Gsdmcl2";1,26645411613808;0,825865859504876;2,18424465425702;-0,604858986853839;-1,68970750219871;0,384162636466669;-6,6545340515322;5,29583361676873;783,854314766323;5,65467210368216e-165;1,5068263527812e-162;0;7
"Zc3h12a";1,03667826063693;1,30468511060715;2,81029318550371;2,80223087293362;4,18124499487926;4,38819867969031;5,21934448078588;6,12574856914622;782,347677875803;1,19532478204611e-164;3,13214937055483e-162;0;2
"Aldob";-0,187823715484276;-0,0756276178811772;-0,423397682356921;-1,53771740049609;-2,60195260603942;-5,53726367196326;-4,62529097820414;5,72609349750222;778,960267568825;6,43211175953356e-164;1,65779772267847e-161;0;7
"Ifi202b";-0,0355402728351349;2,21084015251274;1,33452367416905;4,60634643761574;5,8576038282197;5,31243064316633;4,93815056714733;4,0289621370555;776,861454690753;1,82466531742145e-163;4,62699808395162e-161;0;2
"Gbp4";0,372444283378319;4,1640699386287;4,34132370054605;5,70746100526497;5,15750388892315;5,506360890372;4,68355653724673;6,77393743240465;776,167376002821;2,57592087659974e-163;6,42835365427001e-161;0;1
"Gm12250";2,09253840467379;5,83810980167098;5,66790575459782;6,71172017863729;6,29494477506057;6,03574464832689;5,45351264639402;5,94440027561318;771,799255017514;2,25603700803859e-162;5,54209591255979e-160;0;1
"Sult1c2";0,102326120680497;-1,07761664230407;-2,38657670752509;-3,64888798966971;-3,46338031096752;-5,02344099206448;-4,62338204457555;4,54843243670567;767,653337219717;1,76924514800034e-161;4,27939572567097e-159;0;6
"Car3";-0,867603079673616;-1,45103670920133;-1,81871292521944;-3,42672162451556;-7,7106472880281;-2,28732144948803;-5,46590807416796;4,65982137708911;764,287007031641;9,41928931988351e-161;2,24378888920013e-158;0;6
"Cxcl2";-1,80403187312375;2,52929566578515;2,53421130374051;6,35421279698415;9,24370995377139;8,11538365314512;10,4696218351946;2,06369618459612;755,842934103792;6,24589615978892e-159;1,4656414839433e-156;0;2
"Ly6d";-1,58919410655193;3,35976069610288;3,97888353986328;6,85985882308017;8,85050716192181;8,26808296094331;8,18694716256595;2,78332393240565;750,673017590105;8,14321308026043e-158;1,88275876540962e-155;0;2
"Il1b";0,414098134871742;1,14542146778169;1,35568241292877;3,41609346563013;4,7418095600236;3,49518782326229;5,56573641218975;4,13987020186284;744,079059371801;2,15328737053631e-156;4,90637449848868e-154;0;2
"2210407C18Rik";0,990142769422872;5,21661356848123;5,97312092964919;5,62122230448864;5,46553826202765;4,81054249145953;3,68343104834776;7,27829873627312;742,121668208279;5,6923535457014e-156;1,27850260636453e-153;0;1
"Ifit2";0,326953454988827;4,82684056656226;4,17782813375743;5,42527990162545;4,7045106657254;5,37965455100341;4,73636724541503;6,58522198448617;740,201628544912;1,47712786725352e-155;3,27090201816335e-153;0;1
"Serpina10";0,276603767384044;3,30284130193295;3,30064044146876;5,94773732687068;7,42449248242406;6,74341094783901;7,40052489208794;3,17463128505616;714,182337693225;6,03517695019463e-150;1,31784794459667e-147;0;2
"Coq8a";-0,209472849042065;-0,317901634875383;-0,934518691380914;-1,96456682872503;-2,76654617669911;-4,74277059391029;-5,1138386415562;5,31508101250983;713,29930082631;9,356200683971e-150;2,01504365963551e-147;0;7
"H2-Q7";-0,142896888941791;4,01492922907173;4,0849419775923;4,94228706034718;4,87835659596629;4,96154739336141;4,69667212139949;5,83839359407738;710,842415712771;3,1686168559543e-149;6,73202624450182e-147;0;1
"Socs3";1,53578066763557;2,08538553811033;2,43147374718457;3,6320089903867;4,58336150834983;4,59449206554716;5,21564124708555;5,91540687268493;708,338146420637;1,09861102213293e-148;2,30298166532985e-146;0;2
"Pck1";-0,361226698910222;-0,760090749139341;-1,40904544784936;-2,56557972711594;-3,39971959628037;-3,73670331676391;-4,8965548860306;6,34419691710449;703,012130822796;1,54597430874547e-147;3,19813264238109e-145;0;6
"Ccdc88b";0,0498178155539574;0,934361076234358;1,53405677461441;2,70588679939176;3,65209931736634;3,7216139061001;5,61637589572776;3,91882952587216;701,491237830265;3,28938929677135e-147;6,71633487322587e-145;0;2
"Gzma";0,521457509305201;4,3062905780841;4,94052492881226;5,97431646157525;6,37825124853499;6,04964825978583;6,17759920836947;4,39680260092179;690,534826089677;7,57229245858255e-145;1,52630233376711e-142;0;2
"Gm43302";1,41980123980241;4,9279714666604;5,27373470390957;6,21017189233659;5,65248956447777;5,87384060124783;5,03812930095951;5,22452825828646;686,771409642825;4,90373153127244e-144;9,75904647274245e-142;0;1
"Hsd3b3";-0,644235161015599;-1,2343537262652;-1,88029176146523;-3,70247024566421;-4,64536831095842;-7,3369157605436;-8,55997285263871;3,37507365991095;683,041982258734;3,1222438410567e-143;6,13598970863668e-141;0;7
"Steap4";0,380694900653998;2,63073962152049;3,90783580442522;3,93039954928839;4,55101807611432;4,40869222420015;5,06575425308623;6,45590406163432;682,517400469564;4,05085388285485e-143;7,86265737607949e-141;0;2
"Sycn";-0,0656591202594395;-0,47920285531355;-1,00484512290005;-1,91354778487002;-2,61823752554316;-5,41556693147146;-5,82669946860784;9,97619891106208;675,502108379451;1,31738720652366e-141;2,52584898304451e-139;0;7
"Tnfrsf8";0,0303759777965385;2,77202616601371;4,59992759297386;5,52626255838754;5,80521546532916;6,45309600507917;6,45186365556991;3,72366616954065;665,62136960918;1,77556984959411e-139;3,36331435847213e-137;0;2
"Gsdmc3";0,344065830596976;-0,44699454369394;0,260873889424413;-0,648297012619663;-1,86395127067264;-1,7980099775471;-6,94552418092809;6,82394765753641;664,840179330182;2,61637456388218e-139;4,89698105873281e-137;0;7
"Tnf";1,75815930003387;4,40637111570921;5,55871387080312;6,92970955089517;7,94827246007946;8,00498441348087;8,28213419776143;3,29380697062728;662,738341872974;7,42472878485803e-139;1,37331277594751e-136;0;2
"Trim40";0,793286001848842;1,75420579084758;2,32612490200841;3,38115272194262;4,52170596091961;4,16159190008935;4,56965567418326;5,72471526766997;654,287090360558;4,91988061047238e-137;8,99422825091241e-135;0;2
"Rps13-ps2";8,19433261284438;4,64968146039763;9,76544966241939;10,7444232083911;11,2009973775014;0;0;2,11991833627309;652,408630446556;1,24952481966383e-136;2,25804933502929e-134;0;5
"Ccl8";0,881526125987134;4,43298485230674;4,52606415272935;5,62967915040388;5,23044783077569;5,4837299208834;4,46242893115977;5,15696770684124;647,379915957088;1,51475037386318e-135;2,70623924748602e-133;0;1
"Trim10";0,0834554872615822;1,74839905466416;2,4620371747744;5,00620128421518;7,27482895046212;6,53247911155676;7,54741598973042;2,49917511243562;647,149847280403;1,69791176965445e-135;2,99938975758509e-133;0;2
