"";"gene"
"520";"Abca1"
"521";"Abca12"
"522";"Abca13"
"523";"Abca14"
"524";"Abca15"
"525";"Abca16"
"526";"Abca17"
"527";"Abca2"
"528";"Abca3"
"529";"Abca4"
"530";"Abca5"
"531";"Abca6"
"532";"Abca7"
"533";"Abca8a"
"534";"Abca8b"
"535";"Abca9"
"536";"Abcb10"
"537";"Abcb11"
"538";"Abcb1a"
"539";"Abcb1b"
"540";"Abcb4"
"541";"Abcb5"
"542";"Abcb6"
"543";"Abcb7"
"544";"Abcb8"
"545";"Abcb9"
"546";"Abcc1"
"547";"Abcc10"
"548";"Abcc12"
"549";"Abcc2"
"550";"Abcc3"
"551";"Abcc4"
"552";"Abcc5"
"553";"Abcc6"
"554";"Abcc8"
"555";"Abcc9"
"556";"Abcd1"
"557";"Abcd2"
"558";"Abcd3"
"559";"Abcd4"
"560";"Abce1"
"561";"Abcf1"
"562";"Abcf2"
"563";"Abcf3"
"564";"Abcg1"
"565";"Abcg2"
"566";"Abcg3"
"567";"Abcg4"
"568";"Abcg5"
"569";"Abcg8"
"570";"Abhd10"
"571";"Abhd11"
"572";"Abhd12"
"573";"Abhd12b"
"574";"Abhd13"
"575";"Abhd14a"
"576";"Abhd14b"
"577";"Abhd15"
"578";"Abhd16a"
"579";"Abhd16b"
"580";"Abhd17a"
"581";"Abhd17b"
"582";"Abhd17c"
"583";"Abhd18"
"584";"Abhd2"
"585";"Abhd3"
"586";"Abhd4"
"587";"Abhd5"
"588";"Abhd6"
"589";"Abhd8"
"590";"Abi1"
"591";"Abi2"
"592";"Abi3"
"593";"Abi3bp"
"594";"Abl1"
"595";"Abl2"
"596";"Ablim1"
"597";"Ablim2"
"598";"Ablim3"
"599";"Abo"
"600";"Abr"
"601";"Abra"
"602";"Abracl"
"603";"Abt1"
"604";"Abtb1"
"605";"Abtb2"
"606";"Acaa1a"
"607";"Acaa1b"
"608";"Acaa2"
"609";"Acaca"
"610";"Acacb"
"611";"Acad10"
"612";"Acad11"
"613";"Acad12"
"614";"Acad8"
"615";"Acad9"
"616";"Acadl"
"617";"Acadm"
"618";"Acads"
"619";"Acadsb"
"620";"Acadvl"
"621";"Acan"
"622";"Acap1"
"623";"Acap2"
"624";"Acap3"
"625";"Acat1"
"626";"Acat2"
"627";"Acat3"
"628";"Acbd3"
"629";"Acbd4"
"630";"Acbd5"
"631";"Acbd6"
"632";"Acbd7"
"633";"Accs"
"634";"Accsl"
"635";"Acd"
"636";"Ace"
"637";"Ace2"
"638";"Ace3"
"639";"Acer1"
"640";"Acer2"
"641";"Acer3"
"642";"Ache"
"643";"Acin1"
"644";"Ackr1"
"645";"Ackr2"
"646";"Ackr3"
"647";"Ackr4"
"648";"Acly"
"649";"Acmsd"
"650";"Acnat1"
"651";"Acnat2"
"652";"Aco1"
"653";"Aco2"
"654";"Acod1"
"655";"Acot1"
"656";"Acot10"
"657";"Acot11"
"658";"Acot12"
"659";"Acot13"
"660";"Acot2"
"661";"Acot3"
"662";"Acot4"
"663";"Acot5"
"664";"Acot6"
"665";"Acot7"
"666";"Acot8"
"667";"Acot9"
"668";"Acox1"
"669";"Acox2"
"670";"Acox3"
"671";"Acoxl"
"672";"Acp1"
"673";"Acp2"
"674";"Acp5"
"675";"Acp6"
"676";"Acp7"
"677";"Acpp"
"678";"Acr"
"679";"Acrbp"
"680";"Acrv1"
"681";"Acsbg1"
"682";"Acsbg2"
"683";"Acsf2"
"684";"Acsf3"
"685";"Acsl1"
"686";"Acsl3"
"687";"Acsl4"
"688";"Acsl5"
"689";"Acsl6"
"690";"Acsm1"
"691";"Acsm2"
"692";"Acsm3"
"693";"Acsm4"
"694";"Acsm5"
"695";"Acss1"
"696";"Acss2"
"697";"Acss3"
"698";"Acta1"
"699";"Acta2"
"700";"Actb"
"701";"Actbl2"
"702";"Actc1"
"703";"Actg-ps1"
"704";"Actg1"
"705";"Actg2"
"706";"Actl10"
"707";"Actl11"
"708";"Actl6a"
"709";"Actl6b"
