"";"mouse";"human";"mousemodule";"Taman_UC_logFC";"Lloyd_UC_logFC";"Lloyd_CD_logFC";"Taman_UC_reg";"Lloyd_UC_reg";"Lloyd_CD_reg"
"13136";"Lrfn5";"LRFN5";NA;1,09994354021768;NA;NA;"up";NA;NA
"11998";"Klhl6";"KLHL6";1;1,09991973031416;NA;NA;"up";NA;NA
"22735";"Spon2";"SPON2";7;1,09987783949103;NA;NA;"up";NA;NA
"13032";"Lingo3";"LINGO3";NA;1,0993244784557;NA;NA;"up";NA;NA
"6187";"Fam78a";"FAM78A";1;1,09919397561528;NA;NA;"up";NA;NA
"7396";"Gpr171";"GPR171";1;1,09913779235578;NA;NA;"up";NA;NA
"34";"Abat";"ABAT";8;-1,09871274010079;NA;NA;"down";NA;NA
"8427";"Hcls1";"HCLS1";1;1,09843790954928;NA;NA;"up";NA;NA
"4381";"Cyp4f13";"CYP4F12";8;-1,098282948069;NA;NA;"down";NA;NA
"7494";"Gria3";"GRIA3";NA;-1,09826794085268;NA;NA;"down";NA;NA
"1382";"Atp13a4";"ATP13A4";NA;-1,09813564146963;NA;NA;"down";NA;NA
"24177";"Tmem253";"TMEM253";2;-1,09529992761711;NA;NA;"down";NA;NA
"25191";"Txnip";"TXNIP";7;-1,09526504998331;NA;NA;"down";NA;NA
"1700";"Bicd1";"BICD1";NA;1,09511111889336;NA;NA;"up";NA;NA
"3012";"Celsr1";"CELSR1";NA;1,0946107603906;NA;NA;"up";NA;NA
"23633";"Tcirg1";"TCIRG1";NA;1,09434912082878;NA;NA;"up";NA;NA
"13259";"Lsamp";"LSAMP";NA;1,09379238362556;NA;NA;"up";NA;NA
"11997";"Klhl5";"KLHL5";NA;1,09327793538471;NA;NA;"up";NA;NA
"20860";"Rpl39l";"RPL39L";NA;1,09162871127374;NA;NA;"up";NA;NA
"3309";"Chst5";"CHST6";NA;-1,09159457110748;NA;NA;"down";NA;NA
"6761";"Fsip2";"FSIP2";NA;-1,09158141564434;NA;NA;"down";NA;NA
"14952";"Muc5b";"MUC5B";NA;1,09156771578996;NA;NA;"up";NA;NA
"20071";"Rab39b";"RAB39B";NA;1,09043780345119;NA;NA;"up";NA;NA
"15574";"Nmnat3";"NMNAT3";NA;-1,09041528958227;NA;NA;"down";NA;NA
"13370";"Mab21l3";"MAB21L3";2;-1,09003667567022;NA;NA;"down";NA;NA
"15049";"Myo1d";"MYO1D";NA;-1,08961415354005;NA;NA;"down";NA;NA
"2733";"Cd3g";"CD3G";1;1,08959882242153;NA;NA;"up";NA;NA
"13144";"Lrit2";"LRIT2";NA;-1,08867580394967;NA;NA;"down";NA;NA
"2682";"Cd2";"CD2";1;1,08841888251256;NA;NA;"up";NA;NA
