"";"logFC.D10";"logFC.D20";"logFC.D30";"logFC.D40";"logFC.D50";"logFC.D60";"logCPM";"LR";"PValue";"FDR";"logFC.D0";"module"
"Trim15";0,318008085607364;1,69693703539647;1,14165110926898;3,31906405536493;2,55766196366227;4,36804936963927;5,27659544706562;412,018445091862;7,28267542174388e-86;2,51446506728077e-83;0;2
"H2-Ab1";0,352044017446867;3,82398650130189;4,69989940134677;3,86983406977565;4,57777026668678;4,93986275116967;9,30082550083451;411,946866274269;7,54542869231159e-86;2,5485505563575e-83;0;1
"Gbp2";0,398817073031093;3,40078509720412;3,0220717948384;2,92806888093021;3,59900104503404;5,01029663575917;8,30549567248685;408,249365756461;4,70752653693742e-85;1,55618808094461e-82;0;1
"Ciita";0,926136493582112;4,2990129495087;4,72896618248391;4,01704228610676;5,26322648317885;5,56678186472392;4,52202796798792;402,248163467238;9,18624194486748e-84;2,97347168952929e-81;0;1
"Gbp6";0,818506257225486;3,78179189642439;3,78373793218232;2,88899704090735;4,14054606974128;4,64945840671438;5,48940588397696;389,448208066082;5,18401313620273e-81;1,64375534892208e-78;0;1
"Hao2";-0,145571538821847;-0,926258865169614;-0,587731238856539;-1,40434401124452;-1,78873698127933;-6,25348224339709;7,84234485876174;377,991040315575;1,50230200915781e-78;4,66825326325698e-76;0;8
"H2-Eb1";0,315096532664476;3,19842285272348;4,14106719060227;3,32662166605523;4,15039119737186;4,54568580293297;8,44848383385103;373,819125360866;1,18328233270294e-77;3,60483482415795e-75;0;1
"Serpina3g";1,77077095400418;4,05061358902646;4,7878283441446;5,05308783772491;5,5582659854482;7,22225565642841;3,44816809079232;367,499866055713;2,69506561475709e-76;8,05254508778478e-74;0;1
"Gbp3";0,55257320470534;3,17431813476335;3,00022729523444;2,75531614581961;3,70299110341918;4,54326360211946;5,35551625990843;364,280802028829;1,32428110322615e-75;3,8821425473254e-73;0;1
"Il18bp";0,942411500117714;3,98538423523113;4,07637118451512;3,37296281263602;4,0237926528816;4,8317279814792;5,17452427460692;364,025902417113;1,5021948699718e-75;4,32214846199108e-73;0;1
"Slpi";0,234751444464077;1,44391083462011;1,1936667571822;3,50831807730099;1,74209676668446;3,5862082644512;6,5648490137086;362,427185607973;3,31193059273254e-75;9,35590283987008e-73;0;1
"Zc3h12a";0,710740576184194;1,15961102638398;2,06710478518976;2,47826897949454;2,33371440005716;4,13982409725787;5,69671509270119;357,868340710302;3,15564325541878e-74;8,75521951061457e-72;0;2
"Socs1";0,187011360797182;2,4224800726364;1,99425501332753;3,3710174388428;2,99765223776345;5,05200110385704;4,11281014119642;355,032830245834;1,28215464718923e-73;3,49488364094368e-71;0;2
"Mcpt1";-0,0226353890517411;2,4930595855924;5,0158288781999;4,44115612447014;3,68145266301416;5,1939478031143;4,0437172372191;353,91229575118;2,2311622287718e-73;5,97682199110819e-71;0;1
"Krt90";0;0;4,75096450596976;9,70447488635315;11,4840819406337;9,72940409926982;1,52001394536339;353,56539078272;2,64858315675803e-73;6,97475195026263e-71;0;1
"Prss22";0;2,7745586578828;0;10,6227408947181;8,87556710745553;11,0586357551646;1,37020111505421;343,323587398662;4,18415063316642e-71;1,08348580645845e-68;0;2
"Tnfsf10";0,421740500297729;2,8524321747952;2,79622824185558;2,19834680542093;3,06084669326773;4,11234823789396;5,9768994430004;339,691323921646;2,51859902033762e-70;6,41499557032552e-68;0;1
"Dhrs9";-0,0710792865447028;1,19997052117414;0,626599351395865;2,68485727732416;2,46950188702286;4,21181211458419;4,34260519234531;337,412213535717;7,76691928320617e-70;1,94636491779313e-67;0;2
"Marcksl1";-0,136536194387813;0,289252989918913;-0,0182396943107309;2,07462055688045;1,46319907666291;3,30041021582817;6,70093839749319;336,757620669697;1,07328510061542e-69;2,64692549337488e-67;0;2
"Fabp6";0,217433962540188;3,41272389567477;3,51307336295446;1,08315231304;2,21962575415257;1,33435535643258;5,64677787842758;335,536445721171;1,96224476532567e-69;4,76365576857264e-67;0;4
"Ly6c1";0,29663288141297;2,96117225371761;2,774560041124;3,62045242411845;3,24564052075087;4,24864015732842;7,97246953420393;325,054539335525;3,47912666473347e-67;8,31618322922522e-65;0;1
"Olfr56";0,754799527032544;3,57498203892808;4,11713703926062;5,0933703052521;5,825210713124;7,3374023092971;2,77148299513067;322,880879031128;1,01784755297109e-66;2,39610567128968e-64;0;1
"Gvin1";-0,910796861429687;1,69005499468541;1,05950124418599;1,5950739421567;2,38833322407111;3,31889139685091;5,46966668834946;315,072813054838;4,80898308610721e-65;1,11518164490817e-62;0;2
"Serpina10";2,20424532377192;4,9355778186727;5,58601241559444;7,11562007429468;7,51936567167343;10,2275713353769;1,8629597461526;314,339458981796;6,90697473057968e-65;1,57814215277966e-62;0;1
"Ces2f";0,0346847408056528;2,37088131620035;2,82145712522142;3,30845437130493;3,77888225377827;5,4287136986042;3,4756647433457;310,935049458023;3,70807118374734e-64;8,3496089828815e-62;0;2
